fincen_id,title,date,pdf_filename,pdf_url,publication_type
FIN-2009-G002,FinCEN Guidance – FIN-2009-G002,06/16/2009,fin-2009-g002.pdf,https://www.fincen.gov/system/files/guidance/fin-2009-g002.pdf,advisory
FIN-2009-G001,FinCEN Guidance– FIN-2009-G001,04/27/2009,fin-2009-g001.pdf,https://www.fincen.gov/system/files/guidance/fin-2009-g001.pdf,advisory
FIN-2009-A001,FinCEN Advisory – FIN-2009-A001,04/06/2009,fin-2009-a001.pdf,https://www.fincen.gov/system/files/guidance/fin-2009-a001.pdf,advisory
FIN-2008-G008,FinCEN Guidance-FIN-2008-G008,09/10/2008,fin-2008-g008.pdf,https://www.fincen.gov/system/files/guidance/fin-2008-g008.pdf,advisory
FIN-2008-G007,FinCEN Guidance-FIN-2008-G007,07/31/2008,fin-2008-g007.pdf,https://www.fincen.gov/system/files/guidance/fin-2008-g007.pdf,advisory
FIN-2008-A005,FinCEN Advisory – FIN-2008-A005,04/28/2008,fin-2008-a005.pdf,https://www.fincen.gov/system/files/advisory/fin-2008-a005.pdf,advisory
FIN-2008-G005,FinCEN Guidance-FIN-2008-G005,04/17/2008,fin-2008-g005.pdf,https://www.fincen.gov/system/files/guidance/fin-2008-g005.pdf,advisory
FIN-2008-G004,FinCEN Guidance-FIN-2008-G004(Replaces 10/31/05 FAQs),03/20/2008,fin-2008-g004.pdf,https://www.fincen.gov/system/files/guidance/fin-2008-g004.pdf,advisory
FIN-2008-A002,FinCEN Advisory – FIN-2008-A002,03/20/2008,fin-2008-a002.pdf,https://www.fincen.gov/system/files/advisory/fin-2008-a002.pdf,advisory
FIN-2008-A003,FinCEN Advisory – FIN-2008-A003,03/20/2008,fin-2008-a003.pdf,https://www.fincen.gov/system/files/advisory/fin-2008-a003.pdf,advisory
FIN-2007-A001,FinCEN Advisory – FIN-2007-A001,10/01/2007,guidance_fi_increasing_mlt_iranian.pdf,https://www.fincen.gov/system/files/guidance/guidance_fi_increasing_mlt_iranian.pdf,advisory
,FinCEN Advisory – Issue 40,12/01/2005,advisory.pdf,https://www.fincen.gov/system/files/guidance/advisory.pdf,advisory
,Interagency Advisory - Issue 39,04/01/2005,faqsfinalciprule.pdf,https://www.fincen.gov/system/files/guidance/faqsfinalciprule.pdf,advisory
,FinCEN Advisory - Issue 34,12/01/2003,advis34.pdf,https://www.fincen.gov/system/files/advisory/advis34.pdf,advisory
,FinCEN Advisory - Issue 33,03/01/2003,advis33.pdf,https://www.fincen.gov/system/files/advisory/advis33.pdf,advisory
,FinCEN Advisory - Issue 31,04/01/2002,advis31.pdf,https://www.fincen.gov/system/files/advisory/advis31.pdf,advisory
,FinCEN Advisory - Issue 30,04/01/2002,advis30.pdf,https://www.fincen.gov/system/files/advisory/advis30.pdf,advisory
,FinCEN Advisory - Issue 28,04/01/2002,advis28.pdf,https://www.fincen.gov/system/files/advisory/advis28.pdf,advisory
,FinCEN Advisory - Issue 32,04/01/2002,advis32.pdf,https://www.fincen.gov/system/files/advisory/advis32.pdf,advisory
,FinCEN Advisory - Issue 29,04/01/2002,advis29.pdf,https://www.fincen.gov/system/files/advisory/advis29.pdf,advisory
,Advisory Updated - Issue 21A,01/01/2002,advis21a.pdf,https://www.fincen.gov/system/files/advisory/advis21a.pdf,advisory
,FinCEN Advisory - Issue 26,07/01/2000,advis26.pdf,https://www.fincen.gov/system/files/advisory/advis26.pdf,advisory
,FinCEN Advisory - Issue 17,07/01/2000,advis17.pdf,https://www.fincen.gov/system/files/advisory/advis17.pdf,advisory
