article_name,fincen_id,doc_type,doc_title,doc_date,source_csv,fraud_type,fraud_keyword,page_number,bbox,bbox_norm,page_width,page_height
advis18.pdf,,Advisory,FinCEN Advisory - Issue 18,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 434.03997802734375, 515.219970703125, 503.63995361328125]","[0.30470587537179583, 0.5480302752870502, 0.8418626972273284, 0.6359090323400016]",612.0,792.0
advis18.pdf,,Advisory,FinCEN Advisory - Issue 18,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 518.0399780273438, 531.16796875, 659.639892578125]","[0.30470587537179583, 0.6540908813476562, 0.8679215175653595, 0.8328786522451074]",612.0,792.0
advis18.pdf,,Advisory,FinCEN Advisory - Issue 18,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 518.0399780273438, 531.16796875, 659.639892578125]","[0.30470587537179583, 0.6540908813476562, 0.8679215175653595, 0.8328786522451074]",612.0,792.0
advis18.pdf,,Advisory,FinCEN Advisory - Issue 18,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 518.0399780273438, 531.16796875, 659.639892578125]","[0.30470587537179583, 0.6540908813476562, 0.8679215175653595, 0.8328786522451074]",612.0,792.0
advis18.pdf,,Advisory,FinCEN Advisory - Issue 18,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[187.9199981689453, 96.60001373291016, 533.76025390625, 149.16000366210938]","[0.30705882053749234, 0.12196971430923, 0.8721572776245915, 0.1883333379572088]",612.0,792.0
advis18.pdf,,Advisory,FinCEN Advisory - Issue 18,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,3,"[187.92001342773438, 509.0400085449219, 523.2837524414062, 561.6000366210938]","[0.3070588454701542, 0.6427272835163155, 0.8550388111787683, 0.7090909553296638]",612.0,792.0
advis19.pdf,,Advisory,FinCEN Advisory - Issue 19,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,1,"[177.48001098632812, 456.1199951171875, 501.6719055175781, 496.91998291015625]","[0.29000001795151653, 0.5759090847439237, 0.8197253358130362, 0.6274242208461569]",612.0,792.0
advis19.pdf,,Advisory,FinCEN Advisory - Issue 19,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,1,"[213.47999572753906, 566.52001953125, 524.5199584960938, 693.719970703125]","[0.34882352243061937, 0.7153030549636995, 0.8570587557125715, 0.8759090539180872]",612.0,792.0
advis19.pdf,,Advisory,FinCEN Advisory - Issue 19,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[222.47999572753906, 103.31998443603516, 531.0237426757812, 201.72012329101562]","[0.36352940478356055, 0.1304545258030747, 0.8676858540453942, 0.254697125367444]",612.0,792.0
advis19.pdf,,Advisory,FinCEN Advisory - Issue 19,07/01/2000,fincen_advisories.csv,money_laundering,money laundering,2,"[186.47999572753906, 362.52001953125, 505.6679992675781, 403.32000732421875]","[0.30470587537179583, 0.45772729738794193, 0.8262549007640165, 0.5092424334901752]",612.0,792.0
